OID_,FID_WCSHP,FID_1,COUNTRY,ISO,COUNTRYAFF,AFF_ISO,SHAPE_Leng,FID_WorldCup_XYTableToPoint1,National_Team,Number,POS,PLAYER_NAME,FIRST_NAME_S_,LAST_NAME_S_,NAME_ON_SHIRT,DOB,CLUB,HEIGHT__CM_,Birth,birth_lat,birth_long
304,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,375,Iran,11,Midfielder,AMIRI Vahid,Vahid,AMIRI,V. AMIRI,4/2/1988 0:00,Perspolis Tehran (IRN),179,"Darreh-ye Badam, Khorramabad, Iran",33.6006047,48.0153141
305,114,114,Japan,JP,Japan,JP,118.0531012,404,Japan,15,Midfielder,KAMADA Daichi,Daichi,KAMADA,KAMADA,8/5/1996 0:00,Eintracht Frankfurt (GER),180,"Ehime, Japan",33.6025306,132.7857583
306,239,238,United States,US,United States,US,726.1060557,797,USA,18,Defender,MOORE Shaq,Shaquell Kwame,MOORE,MOORE,11/2/1996 0:00,Nashville Soccer Club (USA),180,"Powder Springs, Georgia, U.S.",33.8595491,-84.683824
307,239,238,United States,US,United States,US,726.1060557,796,USA,17,Midfielder,ROLDAN Cristian,Cristian,ROLDAN,ROLDAN,6/3/1995 0:00,Seattle Sounders FC (USA),172,"Artesia, California, United States",33.8658484,-118.0831212
308,239,238,United States,US,United States,US,726.1060557,804,USA,25,Goalkeeper,JOHNSON Sean,Sean Everet,JOHNSON,JOHNSON,5/31/1989 0:00,New York City FC (USA),190,"Lilburn, Georgia, United States",33.8901036,-84.1429719
309,230,230,Tunisia,TN,Tunisia,TN,25.01430184,749,Tunisia,22,Goalkeeper,BEN SAID Bechir,Bechir,SAID,BEN SAID,11/29/1992 0:00,US Monastir (TUN),193,"Gabes, Tunisia",33.9459648,9.7232673
310,239,238,United States,US,United States,US,726.1060557,782,USA,3,Defender,ZIMMERMAN Walker,Walker Dwain,ZIMMERMAN,ZIMMERMAN,5/19/1993 0:00,Nashville Soccer Club (USA),190,"Lawrenceville, Georgia, U.S.",33.9562149,-83.9879625
311,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,367,Iran,3,Defender,HAJISAFI Ehsan,Ehsan,HAJI SAFI,E. HAJISAFI,2/25/1990 0:00,AEK Athens (GRE),178,"Kashan, Iran",33.9910347,51.4235414
312,151,151,Morocco,MA,Morocco,MA,56.10325661,486,Morocco,19,Forward,EN-NESYRI Youssef,Youssef,EN-NESYRI,EN-NESYRI,6/1/1997 0:00,Sevilla FC (ESP),188,"Fez, Morocco",34.0181246,-5.0078451
313,151,151,Morocco,MA,Morocco,MA,56.10325661,489,Morocco,22,Goalkeeper,TAGNAOUTI Reda,Ahmed Reda,TAGNAOUTI,TAGNAOUTI,4/5/1996 0:00,Wydad Casablanca (MAR),186,"Fes, Morocco",34.0181246,-5.0078451
314,239,238,United States,US,United States,US,726.1060557,798,USA,19,Forward,WRIGHT Haji,Haji Amir,WRIGHT,WRIGHT,3/27/1998 0:00,Antalyaspor AS (TUR),191,"Los Angeles, California, United States",34.0522342,-118.2436849
315,151,151,Morocco,MA,Morocco,MA,56.10325661,472,Morocco,5,Defender,AGUERD Nayef,Nayef,AGUERD,AGUERD,3/30/1996 0:00,West Ham United FC (ENG),190,"Kenitra, Morocco",34.2540503,-6.5890166
316,114,114,Japan,JP,Japan,JP,118.0531012,399,Japan,10,Midfielder,MINAMINO Takumi,Takumi,MINAMINO,MINAMINO,1/16/1995 0:00,AS Monaco (FRA),174,"Izumisano, Japan",34.4068926,135.3273027
317,239,238,United States,US,United States,US,726.1060557,794,USA,15,Defender,LONG Aaron,Aaron Ray,LONG,LONG,10/12/1992 0:00,New York Red Bulls (USA),188,"Oak Hills, California, U.S.",34.4340385,-117.4346964
318,114,114,Japan,JP,Japan,JP,118.0531012,414,Japan,25,Forward,MAEDA Daizen,Daizen,MAEDA,MAEDA,10/20/1997 0:00,Celtic FC (SCO),173,"Taishi, Osaka, Japan",34.6468184,135.5033929
319,114,114,Japan,JP,Japan,JP,118.0531012,415,Japan,26,Defender,ITO Hiroki,Hiroki,ITO,H. ITO,5/12/1999 0:00,VfB Stuttgart (GER),188,"Hamamatsu, Japan",34.7102752,137.7274159
320,114,114,Japan,JP,Japan,JP,118.0531012,397,Japan,8,Midfielder,DOAN Ritsu,Ritsu,DOAN,DOAN,6/16/1998 0:00,SC Freiburg (GER),172,"Amagasaki, Hyogo, Japan",34.7327113,135.4057914
321,230,230,Tunisia,TN,Tunisia,TN,25.01430184,739,Tunisia,12,Defender,MAALOUL Ali,Ali,MAALOUL,MAALOUL,1/1/1990 0:00,Al Ahly SC (EGY),175,"Sfax, Tunisia",34.739822,10.7600196
322,230,230,Tunisia,TN,Tunisia,TN,25.01430184,743,Tunisia,16,Goalkeeper,DAHMEN Aymen,Aymen,DAHMEN,DAHMEN,1/28/1997 0:00,CS Sfaxien (TUN),188,"Sfax, Tunisia",34.739822,10.7600196
323,230,230,Tunisia,TN,Tunisia,TN,25.01430184,751,Tunisia,24,Defender,ABDI Ali,Ali,ELABDI,ABDI,12/20/1993 0:00,SM Caen (FRA),177,"Sfax, Tunisia",34.739822,10.7600196
324,114,114,Japan,JP,Japan,JP,118.0531012,409,Japan,20,Forward,MACHINO Shuto,Shuto,MACHINO,MACHINO,9/30/1999 0:00,Shonan Bellmare (JPN),185,"Iga, Mie, Japan",34.7685703,136.1298712
325,114,114,Japan,JP,Japan,JP,118.0531012,402,Japan,13,Midfielder,MORITA Hidemasa,Hidemasa,MORITA,MORITA,5/10/1995 0:00,Sporting CP (POR),177,"Takatsuki, Osaka, Japan",34.846193,135.6174134
326,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,419,South Korea,4,Defender,KIM Minjae,Minjae,KIM,M J KIM,11/15/1996 0:00,SSC Napoli (ITA),189,"Tongyeong, South Korea",34.8544227,128.433182
327,114,114,Japan,JP,Japan,JP,118.0531012,407,Japan,18,Forward,ASANO Takuma,Takuma,ASANO,ASANO,11/10/1994 0:00,VfL Bochum (GER),173,"Komono, Japan",35.0199868,136.5073674
328,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,438,South Korea,23,Defender,KIM Taehwan,Taehwan,KIM,T H KIM,7/24/1989 0:00,Ulsan Hyundai FC (KOR),177,"Gwangju, South Korea",35.1595454,126.8526012
329,214,214,Spain,ES,Spain,ES,51.72495637,479,Morocco,12,Goalkeeper,EL KAJOUI Munir,Monir,EL KAJOUI,EL KAJOUI,5/10/1989 0:00,Al Wehda FC (KSA),190,"Melilla, Spain",35.2922775,-2.9380973
330,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,432,South Korea,17,Midfielder,NA Sangho,Sangho,,S H NA,8/12/1996 0:00,FC Seoul (KOR),173,"Damyang, South Korea",35.3211394,126.9881673
331,114,114,Japan,JP,Japan,JP,118.0531012,395,Japan,6,Midfielder,ENDO Wataru,Wataru,ENDO,ENDO,2/9/1993 0:00,VfB Stuttgart (GER),178,"Totsuka-ku, Yokohama, Japan",35.4014751,139.5381824
332,114,114,Japan,JP,Japan,JP,118.0531012,391,Japan,2,Defender,YAMANE Miki,Miki,YAMANE,YAMANE,12/22/1993 0:00,Kawasaki Frontale (JPN),178,"Yokohama, Kanagawa, Japan",35.4436739,139.6379639
333,114,114,Japan,JP,Japan,JP,118.0531012,393,Japan,4,Defender,ITAKURA Kou,Kou,ITAKURA,ITAKURA,1/27/1997 0:00,VfL Borussia Mönchengladbach (GER),186,"Yokohama, Japan",35.4436739,139.6379639
334,114,114,Japan,JP,Japan,JP,118.0531012,398,Japan,9,Midfielder,MITOMA Kaoru,Kaoru,MITOMA,MITOMA,5/20/1997 0:00,Brighton & Hove Albion FC (ENG),178,"Kanagawa, Japan",35.4913535,139.284143
335,114,114,Japan,JP,Japan,JP,118.0531012,400,Japan,11,Midfielder,KUBO Takefusa,Takefusa,KUBO,KUBO,6/4/2001 0:00,Real Sociedad (ESP),173,"Kawasaki, Kanagawa, Japan",35.5308325,139.7029125
336,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,416,South Korea,1,Goalkeeper,KIM Seunggyu,Seunggyu,KIM,S G KIM,9/30/1990 0:00,Al Shabab FC (KSA),187,"Ulsan, South Korea",35.5383773,129.3113596
337,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,420,South Korea,5,Midfielder,JUNG Wooyoung,Wooyoung,JUNG,W Y JUNG,12/14/1989 0:00,Al Sadd SC (QAT),188,"Ulsan, South Korea",35.5383773,129.3113596
338,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,425,South Korea,10,Midfielder,LEE Jaesung,Jae Sung,LEE,J S LEE,8/10/1992 0:00,FSV Mainz 05 (GER),180,"Ulsan, South Korea",35.5383773,129.3113596
339,114,114,Japan,JP,Japan,JP,118.0531012,406,Japan,17,Midfielder,TANAKA Ao,Ao,TANAKA,TANAKA,9/10/1998 0:00,Fortuna Düsseldorf (GER),180,"Miyamae-ku, Kawasaki, Japan",35.5857512,139.5738364
340,114,114,Japan,JP,Japan,JP,118.0531012,401,Japan,12,Goalkeeper,GONDA Shuichi,Shuichi,GONDA,GONDA,3/3/1989 0:00,Shimizu S-Pulse (JPN),187,"Setagaya, Tokyo, Japan",35.6465615,139.6532924
341,114,114,Japan,JP,Japan,JP,118.0531012,413,Japan,24,Midfielder,SOMA Yuki,Yuki,SOMA,SOMA,2/25/1997 0:00,Nagoya Grampus (JPN),166,"Tokyo, Japan",35.6761919,139.6503106
342,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,380,Iran,16,Midfielder,TORABI Mehdi,Mahdi,TORABI,M. TORABI,9/10/1994 0:00,Persepolis FC (IRN),180,"Eshtehard, Iran",35.7211614,50.3684045
343,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,369,Iran,5,Defender,MOHAMMADI Milad,Milad,MOHAMMADIKESHMARZI,M. MOHAMMADI,9/29/1993 0:00,AEK Athens (GRE),178,"Tehran, Iran",35.7218583,51.3346954
344,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,376,Iran,12,Goalkeeper,NIAZMAND Payam,Seyed Payam,NIAZMANDGHADER,PAYAM,4/6/1995 0:00,Sepahan FC (IRN),194,"Tehran, Iran",35.7218583,51.3346954
345,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,379,Iran,15,Defender,CHESHMI Roozbeh,Roozbeh,CHESHMI,ROOZBEH,7/24/1993 0:00,Esteghlal Tehran FC (IRN),194,"Tehran, Iran",35.7218583,51.3346954
346,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,383,Iran,19,Defender,HOSSEINI Majid,Seyedmajid,HOSSEINI,MAJID,6/20/1996 0:00,Kayserispor (TUR),187,"Tehran, Iran",35.7218583,51.3346954
347,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,386,Iran,22,Goalkeeper,ABEDZADEH Amir,Amir,ABEDZADEH,ABEDZADEH,4/26/1993 0:00,SD Ponferradina (ESP),186,"Tehran, Iran",35.7218583,51.3346954
348,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,418,South Korea,3,Defender,KIM Jinsu,Jin Su,KIM,J S KIM,6/13/1992 0:00,Jeonbuk Hyundai FC (KOR),177,"Jeonju, Jeonbuk, South Korea",35.8242238,127.1479532
349,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,434,South Korea,19,Defender,KIM Younggwon,Younggwon,KIM,Y G KIM,2/27/1990 0:00,Ulsan Hyundai FC (KOR),186,"Jeonju, Jeonbuk, South Korea",35.8242238,127.1479532
350,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,382,Iran,18,Midfielder,KARIMI Ali,Ali,KARIMI,A. KARIMI,2/11/1994 0:00,Kayserispor (TUR),185,"Karaj, Iran",35.8438581,50.9714995
351,114,114,Japan,JP,Japan,JP,118.0531012,408,Japan,19,Defender,SAKAI Hiroki,Hiroki,SAKAI,SAKAI,4/12/1990 0:00,Urawa Reds (JPN),185,"Kashiwa, Japan",35.8675958,139.9757575
352,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,439,South Korea,24,Defender,CHO Yumin,Yumin,CHO,Y M CHO,11/17/1996 0:00,Daejeon Citizen FC (KOR),182,South Korea,35.907757,127.766922
353,114,114,Japan,JP,Japan,JP,118.0531012,390,Japan,1,Goalkeeper,KAWASHIMA Eiji,Eiji,KAWASHIMA,KAWASHIMA,3/20/1983 0:00,RC Strasbourg (FRA),185,"Yono, Saitama, Japan",35.9962513,139.4466005
354,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,417,South Korea,2,Defender,YOON Jonggyu,Jonggyu,YOON,J G YOON,3/20/1998 0:00,FC Seoul (KOR),173,"Pohang, South Korea",36.0190178,129.3434808
355,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,441,South Korea,26,Midfielder,SONG Minkyu,Minkyu,SONG,M K SONG,9/12/1999 0:00,Jeonbuk Hyundai FC (KOR),179,"Nonsan, South Korea",36.1870656,127.0987453
356,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,421,South Korea,6,Midfielder,HWANG Inbeom,Inbeom,HWANG,I B HWANG,9/20/1996 0:00,Olympiacos Piraeus FC (GRE),177,"Daejeon, South Korea",36.3504119,127.3845475
357,114,114,Japan,JP,Japan,JP,118.0531012,410,Japan,21,Forward,UEDA Ayase,Ayase,UEDA,UEDA,8/28/1998 0:00,Cercle Brugge (BEL),182,"Mito, Ibaraki, Japan",36.3658764,140.4713723
358,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,428,South Korea,13,Midfielder,SON Junho,Junho,SON,J H SON,5/12/1992 0:00,Shandong Luneng Taishan FC (CHN),178,"Yeongdeok, South Korea",36.4150799,129.3659681
359,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,389,Iran,25,Defender,JALALI Abolfazl,Seyedabolfazl,JALALIBOORANI,JALALI,6/26/1998 0:00,Esteghlal Tehran FC (IRN),177,"Amol, Iran",36.4706318,52.3466278
360,214,214,Spain,ES,Spain,ES,51.72495637,232,Denmark,24,Midfielder,SKOV Robert,Robert,SKOV,SKOV,5/20/1996 0:00,TSG 1899 Hoffenheim (GER),183,"Marbella, Spain",36.510071,-4.8824474
361,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,372,Iran,8,Defender,POURALIGANJI Morteza,Morteza,POURALI GANJI,M. POURALIGANJI,4/19/1992 0:00,Perspolis Tehran (IRN),185,"Babol, Iran",36.5386629,52.6764543
362,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,387,Iran,23,Defender,REZAEIAN Ramin,Ramin,REZAEIANSEMESKANDI,RAMIN,3/21/1990 0:00,Sepahan FC (IRN),184,"Sari, Iran",36.5658729,53.0586328
363,230,230,Tunisia,TN,Tunisia,TN,25.01430184,736,Tunisia,9,Forward,JEBALI Issam,Issam,JEBALI,JEBALI,12/25/1991 0:00,Odense BK (DEN),182,"Majaz al Bab, Tunisia",36.6484118,9.6146499
364,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,368,Iran,4,Defender,KHALILZADEH Shoja,Shojae,KHALILZADEH,SHOJA,5/14/1989 0:00,Al Ahli SC (QAT),179,"Bahnemir, Mazandaran, Iran",36.6672199,52.7622483
365,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,371,Iran,7,Midfielder,JAHANBAKHSH Alireza,Alireza,JAHAN BAKHSH JIRANDEH,A. JAHANBAKHSH,8/11/1993 0:00,Feyenoord Rotterdam (NED),181,"Jirandeh, Iran",36.7011948,49.7927514
366,230,230,Tunisia,TN,Tunisia,TN,25.01430184,728,Tunisia,1,Goalkeeper,MATHLOUTHI Aymen,Aymen,MATHLOUTHI,MATHLOUTHI,9/14/1984 0:00,Étoile Du Sahel (TUN),182,"Tunis, Tunisia",36.8064948,10.1815316
367,230,230,Tunisia,TN,Tunisia,TN,25.01430184,734,Tunisia,7,Forward,MSAKNI Youssef,Youssef,MSAKNI,MSAKNI,10/28/1990 0:00,Al Arabi SC (QAT),175,"Tunis, Tunisia",36.8064948,10.1815316
368,230,230,Tunisia,TN,Tunisia,TN,25.01430184,742,Tunisia,15,Midfielder,BEN ROMDHANE Mohamed Ali,Mohamed Ali,BEN ROMDHAN,BEN ROMDHANE,9/6/1999 0:00,Espérance Tunis (TUN),182,"Tunis, Tunisia",36.8064948,10.1815316
369,230,230,Tunisia,TN,Tunisia,TN,25.01430184,746,Tunisia,19,Forward,JAZIRI Seifeddine,Seifeddine,JAZIRI,JAZIRI,2/12/1993 0:00,Zamalek SC (EGY),180,"Tunis, Tunisia",36.8064948,10.1815316
370,230,230,Tunisia,TN,Tunisia,TN,25.01430184,745,Tunisia,18,Midfielder,CHAALELI Ghaylen,Ghaylen,CHAALELI,CHAALELI,2/28/1994 0:00,Espérance Tunis (TUN),179,"La Manouba, Tunisia",36.8093284,10.0863269
371,230,230,Tunisia,TN,Tunisia,TN,25.01430184,729,Tunisia,2,Defender,IFA Bilel,Bilel,IFA,IFA,3/9/1990 0:00,Al Kuwait SC (KUW),185,"Aryanah, Tunisia",36.8665367,10.1647233
372,230,230,Tunisia,TN,Tunisia,TN,25.01430184,731,Tunisia,4,Defender,MERIAH Yassine,Yassine,MERIAH,MERIAH,7/2/1993 0:00,Espérance Tunis (TUN),183,"Aryanah, Tunisia",36.8665367,10.1647233
373,230,230,Tunisia,TN,Tunisia,TN,25.01430184,740,Tunisia,13,Midfielder,SASSI Ferjani,Ferjani,SASSI,SASSI,3/18/1992 0:00,Al Duhail SC (QAT),186,"Aryanah, Tunisia",36.8665367,10.1647233
374,180,180,Portugal,PT,Portugal,PT,19.45369559,571,Portugal,26,Forward,GONCALO RAMOS,Gonçalo,MATIAS RAMOS,G. RAMOS,6/20/2001 0:00,SL Benca (POR),185,"Olhão, Portugal",37.0260416,-7.8423509
375,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,385,Iran,21,Midfielder,NOOROLLAHI Ahmad,Ahmad,NOOROLLAHI,AHMAD,2/1/1993 0:00,Shabab Al Ahli Club (UAE),185,"Azadshahr, Iran",37.0871944,55.1738513
376,214,214,Spain,ES,Spain,ES,51.72495637,684,Spain,9,Midfielder,GAVI,Pablo,PAEZ GAVIRA,GAVI,8/5/2004 0:00,FC Barcelona (ESP),173,"Los Palacios y Villafranca, Spain",37.1584636,-5.9244808
377,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,429,South Korea,14,Defender,HONG Chul,Chul,HONG,C HONG,9/17/1990 0:00,Daegu FC (KOR),177,"Hwaseong, Gyeonggi, South Korea",37.1994932,126.8311887
378,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,430,South Korea,15,Defender,KIM Moonhwan,Moonhwan,KIM,M H KIM,8/1/1995 0:00,Jeonbuk Hyundai FC (KOR),173,"Hwaseong, South Korea",37.1994932,126.8311887
379,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,384,Iran,20,Forward,AZMOUN Sardar,Sardar,AZMOUN,S. AZMOUN,1/1/1995 0:00,Bayer 04 Leverkusen (GER),186,"Gonbad-e Kavus, Iran",37.2523295,55.1671199
380,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,424,South Korea,9,Forward,CHO Guesung,Guesung,CHO,G S CHO,1/25/1998 0:00,Jeonbuk Hyundai FC (KOR),188,"Ansan, Gyeonggi, South Korea",37.3218778,126.8308848
381,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,427,South Korea,12,Goalkeeper,SONG Bumkeun,Bumkeun,SONG,B K SONG,10/15/1997 0:00,Jeonbuk Hyundai FC (KOR),196,"Seongnam, South Korea",37.4449168,127.1388684
382,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,431,South Korea,16,Forward,HWANG Uijo,Ui Jo,HWANG,U J HWANG,8/28/1992 0:00,Olympiacos Piraeus FC (GRE),184,"Seongnam, Gyeonggi, South Korea",37.4449168,127.1388684
383,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,433,South Korea,18,Midfielder,LEE Kangin,Kangin,LEE,K I LEE,2/19/2001 0:00,RCD Mallorca (ESP),173,"Incheon, South Korea",37.4562557,126.7052062
384,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,440,South Korea,25,Midfielder,JEONG Wooyeong,Wooyeong,JEONG,W Y JEONG,9/20/1999 0:00,SC Freiburg (GER),180,"Incheon, South Korea",37.4562557,126.7052062
385,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,370,Iran,6,Midfielder,EZATOLAHI Saeid,Saeid,EZATOLAHI AFAGH,S. EZATOLAHI,10/1/1996 0:00,Vejle BK (DEN),190,"Bandar-e Anzali, Iran",37.4639089,49.4798635
386,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,423,South Korea,8,Midfielder,PAIK Seungho,Seungho,PAIK,S H PAIK,3/17/1997 0:00,Jeonbuk Hyundai FC (KOR),182,"Seoul, South Korea",37.566535,126.9779692
387,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,435,South Korea,20,Defender,KWON Kyungwon,Kyungwon,KWON,K W KWON,1/31/1992 0:00,Gamba Osaka (JPN),187,"Seoul, South Korea",37.566535,126.9779692
388,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,436,South Korea,21,Goalkeeper,JO Hyeonwoo,Hyeonwoo,JO,H W JO,9/25/1991 0:00,Ulsan Hyundai FC (KOR),189,"Seoul, South Korea",37.566535,126.9779692
389,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,437,South Korea,22,Midfielder,KWON Changhoon,Changhoon,KWON,C H KWON,6/30/1994 0:00,Gimcheon Sangmu FC (KOR),174,"Seoul, South Korea",37.566535,126.9779692
390,214,214,Spain,ES,Spain,ES,51.72495637,676,Spain,1,Goalkeeper,SANCHEZ Robert,Robert,LYNCH SÁNCHEZ,SÁNCHEZ,11/18/1997 0:00,Brighton & Hove Albion FC (ENG),197,"Cartagena, Spain",37.6156944,-0.9892242
391,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,366,Iran,2,Defender,MOHARRAMI Sadegh,Sadegh,MOHARRAMI GETGASARI,MOHARRAMI,3/1/1996 0:00,GNK Dinamo Zagreb (CRO),174,"Hashtpar, Iran",37.793322,48.904528
392,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,422,South Korea,7,Midfielder,SON Heungmin,Heung Min,SON,H M SON,7/8/1992 0:00,Tottenham Hotspur FC (ENG),183,"Chuncheon, South Korea",37.8813153,127.7299707
393,212,212,South Korea,KR,"Korea, Republic of",KR,28.3332677,426,South Korea,11,Midfielder,HWANG Heechan,Hee Chan,HWANG,H C HWANG,1/26/1996 0:00,Wolverhampton Wanderers FC (ENG),177,"Chuncheon, Gangwon, South Korea",37.8813153,127.7299707
394,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,374,Iran,10,Forward,ANSARIFARD Karim,Karim,ANSARI FARD,KARIM,4/3/1990 0:00,AC Omonia (CYP),186,"Ardabil, Iran",38.2431757,48.2976116
395,107,107,Iran,IR,"Iran, Islamic Republic of",IR,75.77321354,381,Iran,17,Midfielder,GHOLIZADEH Ali,Ali,GHOLI ZADEHNOJEHDEH,A. GHOLIZADEH,3/10/1996 0:00,Sporting Charleroi (BEL),176,"Ardabil, Iran",38.2431757,48.2976116
396,239,238,United States,US,United States,US,726.1060557,792,USA,13,Defender,REAM Tim,Timothy Michael,REAM,REAM,10/5/1987 0:00,Fulham FC (ENG),185,"St. Louis, Missouri, United States",38.6270025,-90.1994042
397,180,180,Portugal,PT,Portugal,PT,19.45369559,566,Portugal,21,Forward,RICARDO HORTA,Ricardo Jorge,DA LUZ HORTA,R. HORTA,9/15/1994 0:00,SC Braga (POR),173,"Sobreda, Portugal",38.6507254,-9.1892043
398,180,180,Portugal,PT,Portugal,PT,19.45369559,560,Portugal,15,Forward,RAFAEL LEAO,Rafael Alexandre,DA CONCEIÇÃO LEÃO,R. LEÃO,6/10/1999 0:00,AC Milan (ITA),188,"Almada, Portugal",38.6765238,-9.1651047
399,180,180,Portugal,PT,Portugal,PT,19.45369559,551,Portugal,6,Midfielder,JOAO PALHINHA,João Maria,LOBO ALVES PALHINHA GONÇALVES,PALHINHA,7/9/1995 0:00,Fulham FC (ENG),190,"Lisbon, Portugal",38.7222524,-9.1393366
400,180,180,Portugal,PT,Portugal,PT,19.45369559,555,Portugal,10,Forward,BERNARDO SILVA,Bernardo,MOTA VEIGA DE CARVALHO E SILVA,BERNARDO,8/10/1994 0:00,Manchester City FC (ENG),173,"Lisbon, Portugal",38.7222524,-9.1393366
401,180,180,Portugal,PT,Portugal,PT,19.45369559,549,Portugal,4,Defender,RUBEN DIAS,Rúben,DOS SANTOS GATO ALVES DIAS,RUBEN DIAS,5/14/1997 0:00,Manchester City FC (ENG),187,"Amadora, Portugal",38.7577603,-9.2245474
402,214,214,Spain,ES,Spain,ES,51.72495637,689,Spain,14,Defender,GAYA Jose,José Luis,GAYÀ PEÑA,GAYÀ,5/25/1995 0:00,Valencia CF (ESP),172,"Pedreguer, Spain",38.7930797,0.0338198
403,180,180,Portugal,PT,Portugal,PT,19.45369559,564,Portugal,19,Defender,NUNO MENDES,Nuno Alexandre,TAVARES MENDES,N. MENDES,6/19/2002 0:00,Paris Saint-Germain FC (FRA),176,"Sintra, Portugal",38.8029127,-9.3816495
404,239,238,United States,US,United States,US,726.1060557,803,USA,24,Forward,SARGENT Josh,Joshua Thomas,SARGENT,SARGENT,2/20/2000 0:00,Norwich City FC (ENG),185,"O'Fallon, Missouri, United States",38.8106075,-90.6998477
405,214,214,Spain,ES,Spain,ES,51.72495637,694,Spain,19,Midfielder,SOLER Carlos,Carlos,SOLER BARRAGAN,C. SOLER,1/2/1997 0:00,Paris Saint-Germain FC (FRA),180,"Valencia, Spain",39.4699075,-0.3762881
406,214,214,Spain,ES,Spain,ES,51.72495637,686,Spain,11,Forward,TORRES Ferran,Ferran,TORRES GARCÍA,FERRAN,2/29/2000 0:00,FC Barcelona (ESP),184,"Foios, Spain",39.5363435,-0.3524784
407,239,238,United States,US,United States,US,726.1060557,791,USA,12,Goalkeeper,HORVATH Ethan,Ethan Shea,HORVATH,HORVATH,6/9/1995 0:00,Luton Town FC (ENG),193,"Highlands Ranch, Colorado, U.S.",39.5480789,-104.9739333
408,214,214,Spain,ES,Spain,ES,51.72495637,685,Spain,10,Forward,ASENSIO Marco,Marco,ASENSIO WILLEMSEN,M. ASENSIO,1/21/1996 0:00,Real Madrid CF (ESP),175,"Palma, Spain",39.5696005,2.6501603
409,180,180,Portugal,PT,Portugal,PT,19.45369559,546,Portugal,1,Goalkeeper,RUI PATRICIO,Rui Pedro,DOS SANTOS PATRÍCIO,RUI PATRICIO,2/15/1988 0:00,AS Roma (ITA),189,"Marrazes, Portugal",39.763454,-8.8050539
410,239,238,United States,US,United States,US,726.1060557,790,USA,11,Forward,AARONSON Brenden,Brenden Russell,AARONSON,AARONSON,10/22/2000 0:00,Leeds United FC (ENG),177,"Medford, New Jersey, U.S.",39.8661826,-74.8390162
411,214,214,Spain,ES,Spain,ES,51.72495637,679,Spain,4,Defender,TORRES Pau,Pau,FRANCISCO TORRES,PAU,1/16/1997 0:00,Villarreal CF (ESP),191,"Villarreal, Spain",39.9397706,-0.1005932
412,239,238,United States,US,United States,US,726.1060557,789,USA,10,Forward,PULISIC Christian,Christian Mate,PULISIC,PULISIC,9/18/1998 0:00,Chelsea FC (ENG),179,"Hershey, Pennsylvania, United States",40.2859239,-76.6502468
